fetched_at,watch,origin,dest,depart_date,currency,min_price,price_level
2026-09-18T00:36:52+00:00,STL-LAS,STL,LAS,2026-12-16,USD,88,typical
2026-09-18T00:36:52+00:00,STL-LAS,STL,LAS,2026-12-17,USD,182,high
2026-09-18T00:36:52+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,128,typical
2026-09-18T00:36:52+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,128,typical
2026-09-18T00:36:52+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-18T00:36:52+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,150,high
2026-09-18T00:36:52+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,151,high
2026-09-18T00:36:52+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,280,high
2026-09-18T00:36:52+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,280,high
2026-09-18T00:36:52+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,280,high
2026-09-18T05:32:52+00:00,STL-LAS,STL,LAS,2026-12-16,USD,88,typical
2026-09-18T05:32:52+00:00,STL-LAS,STL,LAS,2026-12-17,USD,190,high
2026-09-18T05:32:52+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,128,typical
2026-09-18T05:32:52+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,128,typical
2026-09-18T05:32:52+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-18T05:32:52+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,150,high
2026-09-18T05:32:52+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,150,high
2026-09-18T05:32:52+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,280,high
2026-09-18T05:32:52+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,280,high
2026-09-18T05:32:52+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,280,high
2026-09-18T10:34:44+00:00,STL-LAS,STL,LAS,2026-12-16,USD,88,typical
2026-09-18T10:34:44+00:00,STL-LAS,STL,LAS,2026-12-17,USD,190,high
2026-09-18T10:34:44+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,128,typical
2026-09-18T10:34:44+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,128,typical
2026-09-18T10:34:44+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-18T10:34:44+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,149,high
2026-09-18T10:34:44+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,149,high
2026-09-18T10:34:44+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,280,high
2026-09-18T10:34:44+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,280,high
2026-09-18T10:34:44+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,280,high
2026-09-18T14:47:04+00:00,STL-LAS,STL,LAS,2026-12-16,USD,88,typical
2026-09-18T14:47:04+00:00,STL-LAS,STL,LAS,2026-12-17,USD,190,high
2026-09-18T14:47:04+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,128,typical
2026-09-18T14:47:04+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,128,typical
2026-09-18T14:47:04+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-18T14:47:04+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,149,high
2026-09-18T14:47:04+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,149,high
2026-09-18T14:47:04+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,280,high
2026-09-18T14:47:04+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,280,high
2026-09-18T14:47:04+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,280,high
2026-09-18T18:04:32+00:00,STL-LAS,STL,LAS,2026-12-16,USD,88,typical
2026-09-18T18:04:32+00:00,STL-LAS,STL,LAS,2026-12-17,USD,190,high
2026-09-18T18:04:32+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,129,typical
2026-09-18T18:04:32+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,129,typical
2026-09-18T18:04:32+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-18T18:04:32+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,150,high
2026-09-18T18:04:32+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,150,high
2026-09-18T18:04:32+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,280,high
2026-09-18T18:04:32+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,280,high
2026-09-18T18:04:32+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,280,high
