fetched_at,watch,origin,dest,depart_date,currency,min_price,price_level
2026-09-17T00:45:53+00:00,STL-LAS,STL,LAS,2026-12-16,USD,88,typical
2026-09-17T00:45:53+00:00,STL-LAS,STL,LAS,2026-12-17,USD,170,typical
2026-09-17T00:45:53+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,129,typical
2026-09-17T00:45:53+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,129,typical
2026-09-17T00:45:53+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-17T00:45:53+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,150,high
2026-09-17T00:45:53+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,150,high
2026-09-17T00:45:53+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,281,high
2026-09-17T00:45:53+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,281,high
2026-09-17T00:45:53+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,281,high
2026-09-17T05:43:46+00:00,STL-LAS,STL,LAS,2026-12-16,USD,88,typical
2026-09-17T05:43:46+00:00,STL-LAS,STL,LAS,2026-12-17,USD,170,typical
2026-09-17T05:43:46+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,128,typical
2026-09-17T05:43:46+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,128,typical
2026-09-17T05:43:46+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-17T05:43:46+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,150,high
2026-09-17T05:43:46+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,150,high
2026-09-17T05:43:46+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,281,high
2026-09-17T05:43:46+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,281,high
2026-09-17T05:43:46+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,281,high
2026-09-17T10:57:57+00:00,STL-LAS,STL,LAS,2026-12-16,USD,88,typical
2026-09-17T10:57:57+00:00,STL-LAS,STL,LAS,2026-12-17,USD,182,high
2026-09-17T10:57:57+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,128,typical
2026-09-17T10:57:57+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,128,typical
2026-09-17T10:57:57+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-17T10:57:57+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,146,high
2026-09-17T10:57:57+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,151,high
2026-09-17T10:57:57+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,281,high
2026-09-17T10:57:57+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,281,high
2026-09-17T10:57:57+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,281,high
2026-09-17T15:28:59+00:00,STL-LAS,STL,LAS,2026-12-16,USD,88,typical
2026-09-17T15:28:59+00:00,STL-LAS,STL,LAS,2026-12-17,USD,182,high
2026-09-17T15:28:59+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,128,typical
2026-09-17T15:28:59+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,128,typical
2026-09-17T15:28:59+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-17T15:28:59+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,146,high
2026-09-17T15:28:59+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,151,high
2026-09-17T15:28:59+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,281,high
2026-09-17T15:28:59+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,281,high
2026-09-17T15:28:59+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,281,high
2026-09-17T19:13:03+00:00,STL-LAS,STL,LAS,2026-12-16,USD,88,typical
2026-09-17T19:13:03+00:00,STL-LAS,STL,LAS,2026-12-17,USD,182,high
2026-09-17T19:13:03+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,128,typical
2026-09-17T19:13:03+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,128,typical
2026-09-17T19:13:03+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-17T19:13:03+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,150,high
2026-09-17T19:13:03+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,151,high
2026-09-17T19:13:03+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,281,high
2026-09-17T19:13:03+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,281,high
2026-09-17T19:13:03+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,281,high
