fetched_at,watch,origin,dest,depart_date,currency,min_price,price_level
2026-09-23T01:14:43+00:00,STL-LAS,STL,LAS,2026-12-16,USD,79,typical
2026-09-23T01:14:43+00:00,STL-LAS,STL,LAS,2026-12-17,USD,154,typical
2026-09-23T01:14:43+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,132,typical
2026-09-23T01:14:43+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,132,typical
2026-09-23T01:14:43+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,149,high
2026-09-23T01:14:43+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,143,high
2026-09-23T01:14:43+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,149,high
2026-09-23T01:14:43+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,268,high
2026-09-23T01:14:43+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,278,high
2026-09-23T01:14:43+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,278,high
2026-09-23T06:19:34+00:00,STL-LAS,STL,LAS,2026-12-16,USD,79,typical
2026-09-23T06:19:34+00:00,STL-LAS,STL,LAS,2026-12-17,USD,154,typical
2026-09-23T06:19:34+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,131,typical
2026-09-23T06:19:34+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,131,typical
2026-09-23T06:19:34+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,149,high
2026-09-23T06:19:34+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,143,high
2026-09-23T06:19:34+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,149,high
2026-09-23T06:19:34+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,268,high
2026-09-23T06:19:34+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,278,high
2026-09-23T06:19:34+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,278,high
2026-09-23T11:56:21+00:00,STL-LAS,STL,LAS,2026-12-16,USD,79,typical
2026-09-23T11:56:21+00:00,STL-LAS,STL,LAS,2026-12-17,USD,179,high
2026-09-23T11:56:21+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,130,typical
2026-09-23T11:56:21+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,130,typical
2026-09-23T11:56:21+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,149,high
2026-09-23T11:56:21+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,143,high
2026-09-23T11:56:21+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,149,high
2026-09-23T11:56:21+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,268,high
2026-09-23T11:56:21+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,278,high
2026-09-23T11:56:21+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,278,high
2026-09-23T16:16:12+00:00,STL-LAS,STL,LAS,2026-12-16,USD,79,typical
2026-09-23T16:16:12+00:00,STL-LAS,STL,LAS,2026-12-17,USD,179,high
2026-09-23T16:16:12+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,129,typical
2026-09-23T16:16:12+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,129,typical
2026-09-23T16:16:12+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-23T16:16:12+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,143,high
2026-09-23T16:16:12+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,148,high
2026-09-23T16:16:12+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,268,high
2026-09-23T16:16:12+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,278,high
2026-09-23T16:16:12+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,278,high
2026-09-23T19:45:02+00:00,STL-LAS,STL,LAS,2026-12-16,USD,79,typical
2026-09-23T19:45:02+00:00,STL-LAS,STL,LAS,2026-12-17,USD,179,high
2026-09-23T19:45:02+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,129,typical
2026-09-23T19:45:02+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,129,typical
2026-09-23T19:45:02+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-23T19:45:02+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,143,high
2026-09-23T19:45:02+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,148,high
2026-09-23T19:45:02+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,268,high
2026-09-23T19:45:02+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,278,high
2026-09-23T19:45:02+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,278,high
2026-09-23T22:40:47+00:00,STL-LAS,STL,LAS,2026-12-16,USD,79,typical
2026-09-23T22:40:47+00:00,STL-LAS,STL,LAS,2026-12-17,USD,179,high
2026-09-23T22:40:47+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,129,typical
2026-09-23T22:40:47+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,129,typical
2026-09-23T22:40:47+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-23T22:40:47+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,143,high
2026-09-23T22:40:47+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,148,high
2026-09-23T22:40:47+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,268,high
2026-09-23T22:40:47+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,278,high
2026-09-23T22:40:47+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,278,high
